title,title_key,category,upc,rating_stars,price_listing_gbp,price_excl_tax_gbp,price_incl_tax_gbp,tax_gbp,stock_count,in_stock,review_count,description_words,detail_url
A Light in the Attic,a light in the attic,Poetry,a897fe39b1053632,3,51.77,51.77,51.77,0.0,22,True,0,164,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Tipping the Velvet,tipping the velvet,Historical Fiction,90fa61229261140a,1,53.74,53.74,53.74,0.0,20,True,0,165,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
Soumission,soumission,Fiction,6957f44c3847a760,1,50.1,50.1,50.1,0.0,20,True,0,163,https://books.toscrape.com/catalogue/soumission_998/index.html
Sharp Objects,sharp objects,Mystery,e00eb4fd7b871a48,4,47.82,47.82,47.82,0.0,20,True,0,274,https://books.toscrape.com/catalogue/sharp-objects_997/index.html
Sapiens: A Brief History of Humankind,sapiens a brief history of humankind,History,4165285e1663650f,5,54.23,54.23,54.23,0.0,20,True,0,304,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
The Requiem Red,the requiem red,Young Adult,f77dbf2323deb740,1,22.65,22.65,22.65,0.0,19,True,0,170,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html
The Dirty Little Secrets of Getting Your Dream Job,the dirty little secrets of getting your dream job,Business,2597b5a345f45e1b,4,33.34,33.34,33.34,0.0,19,True,0,284,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",the coming woman a novel based on the life of the infamous feminist victoria woodhull,Default,e72a5dfc7e9267b2,3,17.93,17.93,17.93,0.0,19,True,0,568,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,the boys in the boat nine americans and their epic quest for gold at the 1936 berlin olympics,Default,e10e1e165dc8be4a,4,22.6,22.6,22.6,0.0,19,True,0,335,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
The Black Maria,the black maria,Poetry,1dfe412b8ac00530,1,52.15,52.15,52.15,0.0,19,True,0,464,https://books.toscrape.com/catalogue/the-black-maria_991/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",starving hearts triangular trade trilogy 1,Default,0312262ecafa5a40,2,13.99,13.99,13.99,0.0,19,True,0,196,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
