upc,title,category,price_listing_gbp
24933c712f0bca2f,The Constant Princess (The Tudor Court #1),Historical Fiction,16.62
657fe5ead67a7767,Untitled Collection: Sabbath Poems 2014,Poetry,14.27
3fd83dcf37bf1bc0,"Fruits Basket, Vol. 5 (Fruits Basket #5)",Sequential Art,16.33
07806456878931bc,Seven Days in the Art World,Add a comment,52.33
6c4d17a46cac8787,Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,Food and Drink,33.14
6e8e5626ac4d279e,1491: New Revelations of the Americas Before Columbus,History,21.8
47e1b2d43f709995,Mothering Sunday,Fiction,13.34
7980fa06f2b704d8,"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",Nonfiction,57.83
b53db2271c9624f7,Redeeming Love,Christian Fiction,20.47
f6ae39568db1130e,A New Earth: Awakening to Your Life's Purpose,Spirituality,55.65
88ec621893e595d0,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Self Help,12.08
65d034adf80834b7,"Fables, Vol. 1: Legends in Exile (Fables #1)",Sequential Art,41.62
6263c1d2997b8ce0,The Nanny Diaries (Nanny #1),Womens Fiction,52.53
09b6cc87e62c2c58,Danganronpa Volume 1,Sequential Art,51.99
bddc6fd036eb6279,Hide Away (Eve Duncan #20),Mystery,11.84
f3c76b53b239f511,The Course of Love,Fiction,16.78
9e28048cea8d41f7,First and First (Five Boroughs #3),Romance,15.97
d9290e99f189ce84,Alight (The Generations Trilogy #2),Default,58.59
9e9932ae1a7d0943,The Silent Twin (Detective Jennifer Knight #3),Fantasy,36.25
9efb397067eb7e8a,"Rhythm, Chord & Malykhin",Romance,28.34
c6bf14cb901c63ac,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Science,13.03
f5a92cff83897d48,The Stranger,Philosophy,17.44
d4a29356fc992879,It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,Nonfiction,42.38
6053ddf69c967d5f,The Pilgrim's Progress,Classics,50.26
34669b2e9d407d3a,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",Nonfiction,24.57
bdf415fd484ea8a7,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Sequential Art,37.92
fa26798728f5208f,The Paris Wife,Default,36.8
33396269bcce166f,The Flowers Lied,Default,16.68
41164b8ac02a2c42,Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),Young Adult,58.14
51653ef291ab7ddc,This One Summer,Sequential Art,19.49
2b69d289279aabfd,Dark Lover (Black Dagger Brotherhood #1),Romance,12.87
63d5f1651880dcea,A Shard of Ice (The Black Symphony Saga #1),Fantasy,56.63
148715df5a02ea5e,Tipping Point for Planet Earth: How Close Are We to the Edge?,Science,37.55
163d89116179c33f,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Default,53.68
92275cedf6d8ee15,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Sequential Art,53.9
54aeeb4610d3ae08,Naked,Humor,31.69
d195e7f4ed697350,Agnostic: A Spirited Manifesto,Nonfiction,12.51
9cc207168a03470d,The Perfect Play (Play by Play #1),Romance,59.99
eff24325e0ede639,Harry Potter and the Prisoner of Azkaban (Harry Potter #3),Young Adult,24.17
ad2887ce04583910,Don't Get Caught,Young Adult,55.35
d9c643fa1fc57bdb,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,Default,41.06
6e9403f00acd6752,'Salem's Lot,Horror,49.56
2a1b3d967cda1da2,Tell the Wolves I'm Home,Young Adult,50.96
1ad06aed9349af46,A People's History of the United States,Add a comment,40.79
3f69e667a67e54d9,Beauty Restored (Riley Family Legacy Novellas #3),Default,11.11
e46b1074b99ac4b6,Dracula the Un-Dead,Horror,35.63
c4182bdb53e2459a,The Darkest Corners,Young Adult,11.33
8e0bc2fe4e7d35b5,Boy Meets Boy,Young Adult,21.12
d24b829be2ca81c4,Anonymous,Default,46.82
f435aa99d864077d,Sleeping Giants (Themis Files #1),Science Fiction,48.74
2ef5dc7e278e562a,Ready Player One,Science Fiction,19.07
38d45839cb1c83c1,Algorithms to Live By: The Computer Science of Human Decisions,Nonfiction,30.81
4fa75fc6829431ca,Every Heart a Doorway (Every Heart A Doorway #1),Fantasy,12.16
99ff4cc6491e8f5c,The Mistake (Off-Campus #2),New Adult,43.29
