right_id,title,category,price_gbp
R0243,"Eat Fat, Get Tihn",Health,54.07
R0177,Crhonicles Vol 1,Music,52.6
R0288,Between Shades of Gray,,20.79
R0674,Ways of Seeing,Art,39.51
R0062,Walking Angels (Angels Walking #1),Travel,34.2
R0666,The Art of Simple Food Notes Lessons and Recipes from a Delicious Revolution,Biography,39.23
R0335,This Is Were It Ends,Young Adult,27.12
R0509,Outlander Outlander 1,Default,19.67
R0175,Jazz The of Physics: The Secret Link Between Music and the Structure of the Universe,Nonfiction,35.94
R0112,Eggs Green and Ham,Childrens,10.79
R0683,of Diary a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),Childrens,46.82
R0380,Cll,Add a comment,21.51
R0201,The Shadow Hero (The Sadow Hero),Sequential Art,28.81
R0703,Rising Strong,Nonfiction,21.42
R0716,Do Androids Dream of Electric Sheep? (Blade Runner #1),Science Fiction,48.39
R0251,Night Sky with Exit Wounds,Poetry,41.05
R0115,"Stay, it, Love",Erotica,21.92
R0540,Under the Banner of Heaven A Story of Violent Faith,Nonfiction,30.0
R0053,The Mistake (Off-Campus #2),New Adult,42.75
R0470,A Feast for Crows,Fantasy,17.21
R0026,The Paris Wife,Sports and Games,34.77
R0489,The Unomestic Goddess,Womens Fiction,47.86
R0204,The Case for Christ (Cases fo Christianity),Add a comment,47.84
R0416,Throne of Glass,Fantasy,38.15
R0231,Me Keep Posted,Womens Fiction,20.46
R0677,Love Lies  Spies,Fiction,20.6
R0317,More Thna Music,Add a comment,35.4
R0569,How to Cook Everything Vegetarian: Simple Meatless Recipesf or Great Food (How to Cook Everything),Contemporary,46.01
R0627,Slow States of Collapse: Poems,Religion,57.31
R0101,Settling the Score,,44.91
R0039,Dont Get Caught,Young Adult,55.35
R0122,The Fellowship of the Ring,Default,10.27
R0092,David and Goliath,Default,17.81
R0650,Abstract City,Nonfiction,56.37
R0566,And Then There Were None,Classics,35.01
R0745,The Lucifer Effect Understanding How Good People Turn Evil,Psychology,10.4
R0044,Beauty Restored (Riley Family Legacy Novellas #3),Default,11.11
R0385,Gunning The of Aerica,Cultural,16.81
R0644,Am I Malala: The Girl Who Stood Up for Eucation and Was Shot by the Taliban,Nonfiction,31.08
R0551,Thirteen Reasns Why,Default,49.13
R0731,Dear Mr. Knihtley,Fiction,10.45
R0118,A ManC alled Ove,Fiction,39.72
R0498,The Story of rAt,Art,47.31
R0293,America Reskilling,Self Help,19.33
R0723,Power The of Now A Guide to Spiritual Enlightenment,Nonfiction,43.54
R0636,Kind My of Crazy,,43.04
R0722,Rise fo the Rocket Girls The Women Who Propelled Us from Missiles to the Moon to Mars,Nonfiction,37.43
R0210,If I Stay,Default,35.45
R0162,Somethnig More Than This,Romance,16.24
R0465,Adultrey,Default,21.02
R0593,Fire Bound Sea avenSisters of the Heart 5,Add a comment,21.28
R0047,Meets Boy Boy,Fiction,21.12
R0598,Sonnets Shakespeares,Poetry,21.13
R0503,"Pray, Eat, Love",,50.32
R0286,Black The Maria,Poetry,46.17
R0425,Girl Gone,,37.6
R0120,Frankenstein,Default,38.0
R0747,Night Shift Night Shift 120,,12.75
R0367,Balloon Animals,Fiction,17.03
R0222,"Baboushka, Codename Volume 1: The Conclave of Death",,31.32
R0284,"Zero to One: Notes on Startups, or How to Build the Future",Nonfiction,34.06
R0535,Are WeT here Yet?,Childrens,10.66
R0743,The Five Love Languages How to Express Heartfelt Commitment to Your Mate,Nonfiction,30.01
R0360,an dCharlie the Chocolate Factory (Charlie Bucket #1),Childrens,22.79
R0080,Nap-a-Roo,Childrens,25.08
R0438,Animal Farm,Classics,58.04
R0072,Sanitarium Psycho Psycho 15,Horror,36.97
R0357,Eligible,Fiction,29.07
R0346,Greek Mythic History,Default,11.24
R0472,Secret The,Self Help,24.7
R0081,When Breath Beocmes Air,Nonfiction,39.36
R0476,The Pioneer Woman Cooks Dinnertime Comfort Classics Freezer Food 16Minute Meals and Other Delicious Ways to Solve Supper,Food and Drink,56.41
R0525,Whole Lotta Creativity Going On 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,Nonfiction,38.2
R0573,A Study in Scarlet (Sherlock Holmes #1),Mystery,16.73
R0656,Howl & Other Poems,Poetry,40.45
R0089,Scarlet (The Lunar Chronicles #2),Young Adult,14.57
R0607,Art The & Science of Low Carbohydrate Livnig,,52.98
R0706,Good in Bed,Add a comment,42.48
R0135,The Book of Basketball,Sports and Games,46.97
R0640,E-Myth The Revisited: Why Most Small Businesses Don't Work and What to Do About It,Business,36.66
R0111,When You Ar eEngulfed in Flames,Humor,30.89
R0449,"Thinking, Fast and Slow",Psychology,19.5
R0324,Brilliant Beacons,History,12.13
