left_id,right_id
24933c712f0bca2f,R0000
657fe5ead67a7767,R0001
3fd83dcf37bf1bc0,R0002
07806456878931bc,R0003
6c4d17a46cac8787,R0004
6e8e5626ac4d279e,R0005
47e1b2d43f709995,R0006
7980fa06f2b704d8,R0007
b53db2271c9624f7,R0008
f6ae39568db1130e,R0009
88ec621893e595d0,R0010
65d034adf80834b7,R0011
6263c1d2997b8ce0,R0012
09b6cc87e62c2c58,R0013
bddc6fd036eb6279,R0014
f3c76b53b239f511,R0015
9e28048cea8d41f7,R0016
d9290e99f189ce84,R0017
9e9932ae1a7d0943,R0018
9efb397067eb7e8a,R0019
c6bf14cb901c63ac,R0020
f5a92cff83897d48,R0021
d4a29356fc992879,R0022
6053ddf69c967d5f,R0023
34669b2e9d407d3a,R0024
bdf415fd484ea8a7,R0025
fa26798728f5208f,R0026
33396269bcce166f,R0027
41164b8ac02a2c42,R0028
51653ef291ab7ddc,R0029
2b69d289279aabfd,R0030
63d5f1651880dcea,R0031
148715df5a02ea5e,R0032
163d89116179c33f,R0033
92275cedf6d8ee15,R0034
54aeeb4610d3ae08,R0035
d195e7f4ed697350,R0036
9cc207168a03470d,R0037
eff24325e0ede639,R0038
ad2887ce04583910,R0039
d9c643fa1fc57bdb,R0040
6e9403f00acd6752,R0041
2a1b3d967cda1da2,R0042
1ad06aed9349af46,R0043
3f69e667a67e54d9,R0044
e46b1074b99ac4b6,R0045
c4182bdb53e2459a,R0046
8e0bc2fe4e7d35b5,R0047
d24b829be2ca81c4,R0048
f435aa99d864077d,R0049
2ef5dc7e278e562a,R0050
38d45839cb1c83c1,R0051
4fa75fc6829431ca,R0052
99ff4cc6491e8f5c,R0053
a33ed2e6068df53e,R0054
bf5de316a5e9a4ab,R0055
e956d67c9bcc5809,R0056
e2e7b683b4c15b7d,R0057
d1848064c54e01c7,R0058
53a3d11bb568cc8b,R0059
708345c9897fd7c5,R0060
64fd010bf8d15096,R0061
1fbb5f786e53a0ce,R0062
3c456328b04a8ee8,R0063
3fc9d51d1c4d6ba7,R0064
2da5edf8b5776c9a,R0065
e0bdd79c7304ee8d,R0066
36d5884d44484277,R0067
81372abc86f65c79,R0068
4ef75307fb64e2ad,R0069
1f329c2e7d7de8bd,R0070
7ffebdd1d5148aef,R0071
b8d7b3f5c7a95d65,R0072
b003f8bb02f76dc5,R0073
7267864328ae8b9d,R0074
1a5044d233936b1a,R0075
15f415d436888b2d,R0076
c300cc9326592b65,R0077
7d6d2a6c0276f81b,R0078
16e843e6b853cc2f,R0079
913e7109cec0cb4c,R0080
b69c852e7e3956af,R0081
a4eef523118805ef,R0082
1528279aec1f3dce,R0083
081305e6df719dff,R0084
f77dbf2323deb740,R0085
1b8187fa4bf6ab05,R0086
4a823d80aa30dbb0,R0087
d4de23aa98acc65b,R0088
510832818edb6fbc,R0089
4881cc53f6c8892f,R0090
2c04320e110a14a3,R0091
d234ddecef49ef4e,R0092
bd26e8a79a856c31,R0093
5dada2b7be26bd03,R0094
2b685187f55c5d31,R0095
1c0a38899c82b60a,R0096
39592d9d72e717c4,R0097
04f6c929888f4f11,R0098
e7e87087b1a44711,R0099
d069086944f2e330,R0100
132adf7335bb384a,R0101
66937c669c4da072,R0102
70ed59f194b3c556,R0103
0e691eda369f4e09,R0104
c53d9fefcda371e9,R0105
4f19709e47883df5,R0106
5b546a46a86a9d8c,R0107
2dbb7ec08cdd7f3c,R0108
024387ca4cafd5cc,R0109
4b3f4f151c99f472,R0110
dab0196cd5fc8e5e,R0111
621e2c310cec8d32,R0112
de3f25248ba0789f,R0113
08b2f71d93836313,R0114
bd087cf6a846db75,R0115
0ec9d2b018fb10d8,R0116
4280ac3eab57aa5d,R0117
8682c03de6a844ff,R0118
099fae4a0705d63b,R0119
a492f49a3e2b6a71,R0120
012170e4fc87ace0,R0121
